NETime(ps)	MD_run	Estarttime(ns)	E_Distance(Å)	NE_Distance(Å)	Change(Å)
0ns	1	50	9.983	9.983	0.000
0ns	1	60	9.057	9.057	0.000
0ns	1	70	8.050	8.050	0.000
0ns	1	75	8.515	8.515	0.000
0ns	1	80	10.241	10.241	0.000
0ns	1	90	8.848	8.848	0.000
0ns	1	100	9.062	9.062	0.000
0ns	1	110	10.180	10.180	0.000
0ns	1	120	11.507	11.507	0.000
0ns	1	125	8.171	8.171	0.000
0ns	1	130	8.459	8.459	0.000
0ns	1	140	8.805	8.805	0.000
0ns	1	150	14.119	14.119	0.000
0ns	1	160	14.425	14.425	0.000
0ns	1	170	14.574	14.574	0.000
0ns	1	175	14.885	14.885	0.000
0ns	1	180	11.485	11.485	0.000
0ns	1	190	11.516	11.516	0.000
0ns	1	200	16.409	16.409	0.000
0ns	1	210	15.577	15.577	0.000
0ns	1	220	12.796	12.796	0.000
0ns	1	225	13.747	13.747	0.000
0ns	1	230	14.919	14.919	0.000
0ns	1	240	15.594	15.594	0.000
0ns	1	250	14.186	14.186	0.000
0ns	1	260	20.037	20.037	0.000
0ns	1	270	16.297	16.297	0.000
0ns	1	275	17.888	17.888	0.000
0ns	1	280	16.851	16.851	0.000
0ns	1	290	17.132	17.132	0.000
0ns	1	300	13.471	13.471	0.000
0ns	1	310	17.234	17.234	0.000
0ns	1	320	18.546	18.546	0.000
0ns	1	325	17.150	17.150	0.000
0ns	1	330	14.834	14.834	0.000
0ns	1	340	14.930	14.930	0.000
0ns	1	350	14.895	14.895	0.000
0ns	1	360	15.695	15.695	0.000
0ns	1	370	15.268	15.268	0.000
0ns	1	375	18.028	18.028	0.000
0ns	1	380	17.273	17.273	0.000
0ns	1	390	16.062	16.062	0.000
0ns	1	400	17.450	17.450	0.000
0ns	1	410	16.651	16.651	0.000
0ns	1	420	16.261	16.261	0.000
0ns	1	425	18.091	18.091	0.000
0ns	1	430	14.251	14.251	0.000
0ns	1	440	15.001	15.001	-0.000
0ns	1	450	17.295	17.295	0.000
0ns	1	460	13.346	13.346	0.000
0ns	1	470	17.173	17.173	0.000
0ns	1	475	14.843	14.843	0.000
0ns	1	480	13.445	13.445	0.000
0ns	1	490	18.658	18.658	0.000
0ns	1	500	14.657	14.657	0.000
0ns	2	50	24.210	24.210	0.000
0ns	2	60	16.863	16.863	0.000
0ns	2	70	14.551	14.551	0.000
0ns	2	75	17.062	17.062	0.000
0ns	2	80	19.024	19.024	0.000
0ns	2	90	18.524	18.524	0.000
0ns	2	100	20.634	20.634	0.000
0ns	2	110	17.554	17.554	0.000
0ns	2	120	18.134	18.134	0.000
0ns	2	125	19.159	19.159	0.000
0ns	2	130	20.840	20.840	0.000
0ns	2	140	17.778	17.778	0.000
0ns	2	150	14.769	14.769	0.000
0ns	2	160	19.881	19.881	0.000
0ns	2	170	18.150	18.150	0.000
0ns	2	175	19.479	19.479	0.000
0ns	2	180	19.804	19.804	0.000
0ns	2	190	19.439	19.439	0.000
0ns	2	200	21.108	21.108	0.000
0ns	2	210	19.656	19.656	0.000
0ns	2	220	21.311	21.311	0.000
0ns	2	225	21.161	21.161	0.000
0ns	2	230	20.843	20.843	0.000
0ns	2	240	21.335	21.335	0.000
0ns	2	250	20.321	20.321	0.000
0ns	2	260	22.335	22.335	0.000
0ns	2	270	18.260	18.260	0.000
0ns	2	275	19.978	19.978	0.000
0ns	2	280	22.577	22.577	0.000
0ns	2	290	22.536	22.536	0.000
0ns	2	300	18.934	18.934	0.000
0ns	2	310	18.007	18.007	0.000
0ns	2	320	17.133	17.133	0.000
0ns	2	325	13.358	13.358	0.000
0ns	2	330	18.936	18.936	0.000
0ns	2	340	27.788	27.788	-0.000
0ns	2	350	25.105	25.105	0.000
0ns	2	360	24.882	24.882	0.000
0ns	2	370	24.445	24.445	0.000
0ns	2	375	23.691	23.691	0.000
0ns	2	380	26.927	26.927	0.000
0ns	2	390	24.201	24.201	0.000
0ns	2	400	32.723	32.723	-0.000
0ns	2	410	30.827	30.827	0.000
0ns	2	420	26.553	26.553	0.000
0ns	2	425	37.207	37.207	0.000
0ns	2	430	31.973	31.973	0.000
0ns	2	440	33.663	33.663	0.000
0ns	2	450	34.668	34.668	0.000
0ns	2	460	31.818	31.818	0.000
0ns	2	470	31.240	31.240	0.000
0ns	2	475	28.586	28.586	0.000
0ns	2	480	30.725	30.725	0.000
0ns	2	490	26.980	26.980	0.000
0ns	2	500	34.096	34.096	0.000
0ns	3	50	13.648	13.648	0.000
0ns	3	60	13.006	13.006	0.000
0ns	3	70	13.574	13.574	0.000
0ns	3	75	15.185	15.185	0.000
0ns	3	80	15.849	15.849	0.000
0ns	3	90	13.357	13.357	0.000
0ns	3	100	14.649	14.649	0.000
0ns	3	110	13.696	13.696	0.000
0ns	3	120	13.159	13.159	0.000
0ns	3	125	12.677	12.677	0.000
0ns	3	130	13.856	13.856	0.000
0ns	3	140	13.288	13.288	0.000
0ns	3	150	11.082	11.082	0.000
0ns	3	160	15.795	15.795	0.000
0ns	3	170	15.435	15.435	0.000
0ns	3	175	15.871	15.871	0.000
0ns	3	180	13.023	13.023	0.000
0ns	3	190	12.239	12.239	0.000
0ns	3	200	10.775	10.775	0.000
0ns	3	210	14.948	14.948	0.000
0ns	3	220	14.905	14.905	0.000
0ns	3	225	15.110	15.110	0.000
0ns	3	230	14.982	14.982	0.000
0ns	3	240	12.720	12.720	0.000
0ns	3	250	14.600	14.600	0.000
0ns	3	260	13.973	13.973	0.000
0ns	3	270	16.935	16.935	0.000
0ns	3	275	18.283	18.283	0.000
0ns	3	280	19.860	19.860	0.000
0ns	3	290	18.984	18.984	0.000
0ns	3	300	21.681	21.681	0.000
0ns	3	310	17.398	17.398	-0.000
0ns	3	320	17.546	17.546	0.000
0ns	3	325	21.036	21.036	-0.000
0ns	3	330	19.024	19.024	0.000
0ns	3	340	18.213	18.213	0.000
0ns	3	350	18.001	18.001	0.000
0ns	3	360	17.865	17.865	0.000
0ns	3	370	18.585	18.585	-0.000
0ns	3	375	19.213	19.213	0.000
0ns	3	380	19.580	19.580	0.000
0ns	3	390	17.581	17.581	0.000
0ns	3	400	19.307	19.307	0.000
0ns	3	410	19.820	19.820	0.000
0ns	3	420	18.428	18.428	0.000
0ns	3	425	17.600	17.600	0.000
0ns	3	430	18.260	18.260	0.000
0ns	3	440	19.374	19.374	0.000
0ns	3	450	17.782	17.782	0.000
0ns	3	460	18.283	18.283	0.000
0ns	3	470	19.071	19.071	0.000
0ns	3	475	19.041	19.041	0.000
0ns	3	480	15.450	15.450	0.000
0ns	3	490	19.268	19.268	-0.000
0ns	3	500	17.656	17.656	0.000
0ns	4	50	11.451	11.451	0.000
0ns	4	60	11.859	11.859	0.000
0ns	4	70	13.321	13.321	0.000
0ns	4	75	11.946	11.946	0.000
0ns	4	80	12.176	12.176	0.000
0ns	4	90	13.960	13.960	0.000
0ns	4	100	17.438	17.438	0.000
0ns	4	110	16.519	16.519	0.000
0ns	4	120	9.693	9.693	0.000
0ns	4	125	11.485	11.485	0.000
0ns	4	130	13.042	13.042	0.000
0ns	4	140	10.905	10.905	0.000
0ns	4	150	12.334	12.334	0.000
0ns	4	160	11.808	11.808	0.000
0ns	4	170	11.683	11.683	0.000
0ns	4	175	11.216	11.216	0.000
0ns	4	180	12.447	12.447	0.000
0ns	4	190	11.728	11.728	0.000
0ns	4	200	10.091	10.091	0.000
0ns	4	210	11.135	11.135	0.000
0ns	4	220	10.529	10.529	0.000
0ns	4	225	12.152	12.152	0.000
0ns	4	230	9.800	9.800	0.000
0ns	4	240	13.023	13.023	0.000
0ns	4	250	10.917	10.917	0.000
0ns	4	260	11.879	11.879	0.000
0ns	4	270	13.640	13.640	0.000
0ns	4	275	13.290	13.290	0.000
0ns	4	280	12.831	12.831	0.000
0ns	4	290	10.901	10.901	0.000
0ns	4	300	12.588	12.588	0.000
0ns	4	310	17.090	17.090	0.000
0ns	4	320	12.338	12.338	0.000
0ns	4	325	16.497	16.497	0.000
0ns	4	330	12.942	12.942	0.000
0ns	4	340	13.514	13.514	0.000
0ns	4	350	17.888	17.888	0.000
0ns	4	360	13.666	13.666	0.000
0ns	4	370	13.943	13.943	0.000
0ns	4	375	13.651	13.651	0.000
0ns	4	380	13.392	13.392	0.000
0ns	4	390	13.115	13.115	0.000
0ns	4	400	13.490	13.490	0.000
0ns	4	410	20.211	20.211	0.000
0ns	4	420	11.764	11.764	0.000
0ns	4	425	14.797	14.797	0.000
0ns	4	430	16.279	16.279	0.000
0ns	4	440	14.498	14.498	0.000
0ns	4	450	13.401	13.401	0.000
0ns	4	460	14.534	14.534	0.000
0ns	4	470	20.200	20.200	-0.000
0ns	4	475	20.180	20.180	0.000
0ns	4	480	16.611	16.611	0.000
0ns	4	490	17.732	17.732	0.000
0ns	4	500	18.077	18.077	0.000
0ns	5	50	16.264	16.264	0.000
0ns	5	60	19.655	19.655	0.000
0ns	5	70	22.447	22.447	0.000
0ns	5	75	21.914	21.914	0.000
0ns	5	80	21.312	21.312	0.000
0ns	5	90	16.060	16.060	0.000
0ns	5	100	17.169	17.169	0.000
0ns	5	110	16.516	16.516	0.000
0ns	5	120	17.674	17.674	0.000
0ns	5	125	16.126	16.126	-0.000
0ns	5	130	17.134	17.134	0.000
0ns	5	140	17.464	17.464	0.000
0ns	5	150	16.652	16.652	0.000
0ns	5	160	18.941	18.941	0.000
0ns	5	170	16.429	16.429	0.000
0ns	5	175	14.592	14.592	0.000
0ns	5	180	14.786	14.786	0.000
0ns	5	190	13.612	13.612	0.000
0ns	5	200	15.326	15.326	0.000
0ns	5	210	21.114	21.114	0.000
0ns	5	220	15.291	15.291	0.000
0ns	5	225	15.442	15.442	0.000
0ns	5	230	17.101	17.101	0.000
0ns	5	240	18.011	18.011	0.000
0ns	5	250	19.405	19.405	0.000
0ns	5	260	15.856	15.856	0.000
0ns	5	270	18.292	18.292	0.000
0ns	5	275	15.115	15.115	0.000
0ns	5	280	15.856	15.856	0.000
0ns	5	290	15.782	15.782	0.000
0ns	5	300	14.973	14.973	0.000
0ns	5	310	13.918	13.918	0.000
0ns	5	320	13.863	13.863	0.000
0ns	5	325	16.952	16.952	0.000
0ns	5	330	16.493	16.493	0.000
0ns	5	340	15.387	15.387	0.000
0ns	5	350	15.843	15.843	0.000
0ns	5	360	15.738	15.738	0.000
0ns	5	370	15.259	15.259	0.000
0ns	5	375	17.750	17.750	0.000
0ns	5	380	17.586	17.586	0.000
0ns	5	390	17.689	17.689	0.000
0ns	5	400	15.326	15.326	0.000
0ns	5	410	18.901	18.901	0.000
0ns	5	420	20.809	20.809	0.000
0ns	5	425	19.260	19.260	0.000
0ns	5	430	20.595	20.595	0.000
0ns	5	440	20.943	20.943	0.000
0ns	5	450	20.378	20.378	0.000
0ns	5	460	23.077	23.077	0.000
0ns	5	470	24.072	24.072	0.000
0ns	5	475	20.809	20.809	0.000
0ns	5	480	24.335	24.335	0.000
0ns	5	490	23.501	23.501	0.000
0ns	5	500	21.513	21.513	0.000
0ns	6	50	22.451	22.451	0.000
0ns	6	60	20.866	20.866	0.000
0ns	6	70	25.217	25.217	0.000
0ns	6	75	24.152	24.152	0.000
0ns	6	80	19.247	19.247	0.000
0ns	6	90	22.549	22.549	0.000
0ns	6	100	23.970	23.970	0.000
0ns	6	110	24.397	24.397	0.000
0ns	6	120	18.226	18.226	0.000
0ns	6	125	19.947	19.947	0.000
0ns	6	130	22.131	22.131	0.000
0ns	6	140	23.236	23.236	0.000
0ns	6	150	19.841	19.841	0.000
0ns	6	160	20.690	20.690	0.000
0ns	6	170	16.858	16.858	-0.000
0ns	6	175	20.067	20.067	0.000
0ns	6	180	18.728	18.728	0.000
0ns	6	190	17.884	17.884	0.000
0ns	6	200	19.395	19.395	0.000
0ns	6	210	18.388	18.388	0.000
0ns	6	220	23.027	23.027	0.000
0ns	6	225	16.870	16.870	0.000
0ns	6	230	25.444	25.444	0.000
0ns	6	240	20.693	20.693	0.000
0ns	6	250	24.851	24.851	0.000
0ns	6	260	30.901	30.901	0.000
0ns	6	270	25.312	25.312	0.000
0ns	6	275	22.229	22.229	0.000
0ns	6	280	24.561	24.561	0.000
0ns	6	290	18.700	18.700	0.000
0ns	6	300	14.092	14.092	0.000
0ns	6	310	16.656	16.656	0.000
0ns	6	320	17.598	17.598	0.000
0ns	6	325	21.469	21.469	0.000
0ns	6	330	24.298	24.298	0.000
0ns	6	340	21.399	21.399	0.000
0ns	6	350	22.595	22.595	0.000
0ns	6	360	21.045	21.045	0.000
0ns	6	370	19.871	19.871	0.000
0ns	6	375	17.748	17.748	0.000
0ns	6	380	22.282	22.282	0.000
0ns	6	390	22.610	22.610	0.000
0ns	6	400	18.926	18.926	0.000
0ns	6	410	24.442	24.442	0.000
0ns	6	420	24.128	24.128	0.000
0ns	6	425	22.923	22.923	0.000
0ns	6	430	20.179	20.179	0.000
0ns	6	440	20.341	20.341	0.000
0ns	6	450	21.419	21.419	0.000
0ns	6	460	26.781	26.781	0.000
0ns	6	470	16.711	16.711	0.000
0ns	6	475	17.179	17.179	0.000
0ns	6	480	18.515	18.515	0.000
0ns	6	490	18.710	18.710	0.000
0ns	6	500	16.998	16.998	0.000
0ns	7	50	13.608	13.608	0.000
0ns	7	60	12.160	12.160	0.000
0ns	7	70	15.142	15.142	-0.000
0ns	7	75	14.312	14.312	0.000
0ns	7	80	13.692	13.692	0.000
0ns	7	90	13.272	13.272	0.000
0ns	7	100	12.590	12.590	0.000
0ns	7	110	12.914	12.914	0.000
0ns	7	120	11.337	11.337	0.000
0ns	7	125	12.213	12.213	0.000
0ns	7	130	16.977	16.977	0.000
0ns	7	140	11.719	11.719	0.000
0ns	7	150	14.922	14.922	0.000
0ns	7	160	17.688	17.688	0.000
0ns	7	170	12.566	12.566	0.000
0ns	7	175	18.524	18.524	0.000
0ns	7	180	13.859	13.859	0.000
0ns	7	190	16.741	16.741	0.000
0ns	7	200	17.693	17.693	0.000
0ns	7	210	18.804	18.804	0.000
0ns	7	220	14.314	14.314	0.000
0ns	7	225	16.966	16.966	0.000
0ns	7	230	18.006	18.006	0.000
0ns	7	240	17.185	17.185	0.000
0ns	7	250	16.676	16.676	0.000
0ns	7	260	16.317	16.317	0.000
0ns	7	270	14.032	14.032	0.000
0ns	7	275	17.713	17.713	0.000
0ns	7	280	17.928	17.928	0.000
0ns	7	290	16.735	16.735	0.000
0ns	7	300	19.269	19.269	0.000
0ns	7	310	19.813	19.813	0.000
0ns	7	320	17.594	17.594	0.000
0ns	7	325	15.286	15.286	0.000
0ns	7	330	15.811	15.811	0.000
0ns	7	340	14.604	14.604	0.000
0ns	7	350	18.015	18.015	0.000
0ns	7	360	16.910	16.910	-0.000
0ns	7	370	17.482	17.482	0.000
0ns	7	375	17.051	17.051	0.000
0ns	7	380	16.304	16.304	0.000
0ns	7	390	18.342	18.342	0.000
0ns	7	400	19.084	19.084	0.000
0ns	7	410	17.573	17.573	0.000
0ns	7	420	16.577	16.577	0.000
0ns	7	425	20.601	20.601	0.000
0ns	7	430	18.220	18.220	0.000
0ns	7	440	15.264	15.264	0.000
0ns	7	450	19.257	19.257	0.000
0ns	7	460	20.399	20.399	0.000
0ns	7	470	17.484	17.484	0.000
0ns	7	475	14.720	14.720	0.000
0ns	7	480	20.572	20.572	0.000
0ns	7	490	20.190	20.190	0.000
0ns	7	500	22.654	22.654	0.000
0ns	8	50	12.470	12.470	0.000
0ns	8	60	13.026	13.026	0.000
0ns	8	70	10.688	10.688	0.000
0ns	8	75	13.591	13.591	0.000
0ns	8	80	15.890	15.890	0.000
0ns	8	90	12.266	12.266	0.000
0ns	8	100	10.874	10.874	0.000
0ns	8	110	12.820	12.820	0.000
0ns	8	120	15.977	15.977	0.000
0ns	8	125	15.482	15.482	0.000
0ns	8	130	15.623	15.623	0.000
0ns	8	140	17.968	17.968	0.000
0ns	8	150	12.996	12.996	0.000
0ns	8	160	13.181	13.181	0.000
0ns	8	170	17.486	17.486	0.000
0ns	8	175	15.525	15.525	0.000
0ns	8	180	18.341	18.341	0.000
0ns	8	190	17.959	17.959	0.000
0ns	8	200	19.592	19.592	0.000
0ns	8	210	19.826	19.826	0.000
0ns	8	220	17.539	17.539	0.000
0ns	8	225	18.249	18.249	0.000
0ns	8	230	19.059	19.059	0.000
0ns	8	240	14.809	14.809	0.000
0ns	8	250	14.255	14.255	0.000
0ns	8	260	14.520	14.520	0.000
0ns	8	270	18.454	18.454	0.000
0ns	8	275	19.087	19.087	0.000
0ns	8	280	19.429	19.429	0.000
0ns	8	290	12.470	12.470	0.000
0ns	8	300	14.450	14.450	0.000
0ns	8	310	15.577	15.577	0.000
0ns	8	320	17.386	17.386	0.000
0ns	8	325	11.734	11.734	0.000
0ns	8	330	14.872	14.872	0.000
0ns	8	340	16.087	16.087	-0.000
0ns	8	350	15.485	15.485	0.000
0ns	8	360	13.890	13.890	0.000
0ns	8	370	18.950	18.950	0.000
0ns	8	375	15.633	15.633	0.000
0ns	8	380	16.064	16.064	0.000
0ns	8	390	12.991	12.991	0.000
0ns	8	400	16.168	16.168	0.000
0ns	8	410	15.513	15.513	0.000
0ns	8	420	14.778	14.778	0.000
0ns	8	425	12.878	12.878	0.000
0ns	8	430	16.907	16.907	0.000
0ns	8	440	18.160	18.160	0.000
0ns	8	450	23.935	23.935	0.000
0ns	8	460	19.582	19.582	0.000
0ns	8	470	19.952	19.952	0.000
0ns	8	475	21.330	21.330	0.000
0ns	8	480	18.363	18.363	0.000
0ns	8	490	19.198	19.198	0.000
0ns	8	500	18.760	18.760	0.000
0ns	9	50	18.419	18.419	0.000
0ns	9	60	18.412	18.412	-0.000
0ns	9	70	12.473	12.473	0.000
0ns	9	75	13.743	13.743	0.000
0ns	9	80	14.257	14.257	0.000
0ns	9	90	12.469	12.469	0.000
0ns	9	100	12.089	12.089	0.000
0ns	9	110	14.547	14.547	0.000
0ns	9	120	17.305	17.305	0.000
0ns	9	125	16.550	16.550	0.000
0ns	9	130	16.765	16.765	0.000
0ns	9	140	15.926	15.926	0.000
0ns	9	150	16.324	16.324	-0.000
0ns	9	160	16.460	16.460	0.000
0ns	9	170	16.158	16.158	0.000
0ns	9	175	14.950	14.950	0.000
0ns	9	180	17.958	17.958	0.000
0ns	9	190	18.743	18.743	0.000
0ns	9	200	15.260	15.260	0.000
0ns	9	210	13.440	13.440	0.000
0ns	9	220	17.405	17.405	0.000
0ns	9	225	16.731	16.731	0.000
0ns	9	230	14.904	14.904	0.000
0ns	9	240	13.804	13.804	0.000
0ns	9	250	15.542	15.542	-0.000
0ns	9	260	16.487	16.487	0.000
0ns	9	270	13.543	13.543	0.000
0ns	9	275	16.547	16.547	0.000
0ns	9	280	14.304	14.304	-0.000
0ns	9	290	15.645	15.645	0.000
0ns	9	300	16.030	16.030	0.000
0ns	9	310	14.650	14.650	0.000
0ns	9	320	18.400	18.400	0.000
0ns	9	325	13.466	13.466	0.000
0ns	9	330	15.137	15.137	0.000
0ns	9	340	16.430	16.430	0.000
0ns	9	350	16.342	16.342	0.000
0ns	9	360	16.627	16.627	0.000
0ns	9	370	15.246	15.246	0.000
0ns	9	375	14.967	14.967	-0.000
0ns	9	380	16.962	16.962	0.000
0ns	9	390	16.650	16.650	0.000
0ns	9	400	14.328	14.328	0.000
0ns	9	410	14.297	14.297	0.000
0ns	9	420	14.892	14.892	0.000
0ns	9	425	14.849	14.849	0.000
0ns	9	430	16.139	16.139	0.000
0ns	9	440	17.660	17.660	-0.000
0ns	9	450	14.641	14.641	0.000
0ns	9	460	15.324	15.324	0.000
0ns	9	470	15.090	15.090	0.000
0ns	9	475	16.089	16.089	0.000
0ns	9	480	17.911	17.911	0.000
0ns	9	490	16.624	16.624	0.000
0ns	9	500	13.653	13.653	0.000
0ns	10	50	15.012	15.012	0.000
0ns	10	60	11.678	11.678	0.000
0ns	10	70	12.058	12.058	0.000
0ns	10	75	11.848	11.848	0.000
0ns	10	80	11.213	11.213	0.000
0ns	10	90	16.499	16.499	0.000
0ns	10	100	12.232	12.232	0.000
0ns	10	110	13.300	13.300	0.000
0ns	10	120	22.092	22.092	0.000
0ns	10	125	18.341	18.341	0.000
0ns	10	130	18.938	18.938	0.000
0ns	10	140	19.097	19.097	0.000
0ns	10	150	18.743	18.743	0.000
0ns	10	160	16.431	16.431	0.000
0ns	10	170	16.932	16.932	0.000
0ns	10	175	19.823	19.823	0.000
0ns	10	180	16.172	16.172	0.000
0ns	10	190	23.359	23.359	0.000
0ns	10	200	27.173	27.173	0.000
0ns	10	210	23.128	23.128	0.000
0ns	10	220	24.272	24.272	0.000
0ns	10	225	21.043	21.043	0.000
0ns	10	230	22.584	22.584	0.000
0ns	10	240	25.427	25.427	0.000
0ns	10	250	24.954	24.954	0.000
0ns	10	260	29.161	29.161	0.000
0ns	10	270	25.868	25.868	0.000
0ns	10	275	23.997	23.997	0.000
0ns	10	280	26.518	26.518	0.000
0ns	10	290	24.361	24.361	0.000
0ns	10	300	23.290	23.290	0.000
0ns	10	310	26.513	26.513	-0.000
0ns	10	320	23.105	23.105	0.000
0ns	10	325	14.939	14.939	0.000
0ns	10	330	24.560	24.560	0.000
0ns	10	340	24.973	24.973	0.000
0ns	10	350	23.244	23.244	0.000
0ns	10	360	21.031	21.031	0.000
0ns	10	370	26.191	26.191	0.000
0ns	10	375	26.218	26.218	0.000
0ns	10	380	21.691	21.691	0.000
0ns	10	390	10.701	10.701	0.000
0ns	10	400	22.144	22.144	0.000
0ns	10	410	22.797	22.797	0.000
0ns	10	420	22.104	22.104	0.000
0ns	10	425	17.109	17.109	0.000
0ns	10	430	18.386	18.386	0.000
0ns	10	440	25.191	25.191	0.000
0ns	10	450	17.998	17.998	0.000
0ns	10	460	23.344	23.344	0.000
0ns	10	470	20.243	20.243	0.000
0ns	10	475	19.939	19.939	0.000
0ns	10	480	20.421	20.421	0.000
0ns	10	490	21.316	21.316	-0.000
0ns	10	500	17.031	17.031	0.000
0ns	Average	Average	17.483	17.483	0.000
10ns	1	50	9.031	11.059	2.028
10ns	1	60	9.330	9.242	-0.088
10ns	1	70	8.957	8.483	-0.474
10ns	1	75	10.422	8.709	-1.713
10ns	1	80	9.853	9.541	-0.312
10ns	1	90	8.787	8.696	-0.091
10ns	1	100	9.274	8.311	-0.963
10ns	1	110	8.505	11.147	2.641
10ns	1	120	8.876	10.435	1.559
10ns	1	125	8.900	9.083	0.184
10ns	1	130	10.306	8.444	-1.861
10ns	1	140	9.254	8.980	-0.274
10ns	1	150	10.421	16.155	5.734
10ns	1	160	13.719	13.435	-0.284
10ns	1	170	13.685	14.513	0.828
10ns	1	175	17.023	14.895	-2.128
10ns	1	180	13.467	11.675	-1.792
10ns	1	190	12.199	13.878	1.679
10ns	1	200	16.364	16.005	-0.359
10ns	1	210	18.008	16.014	-1.994
10ns	1	220	15.282	13.194	-2.088
10ns	1	225	14.050	13.140	-0.910
10ns	1	230	15.452	14.385	-1.067
10ns	1	240	12.224	14.883	2.660
10ns	1	250	14.705	16.066	1.361
10ns	1	260	19.966	18.615	-1.352
10ns	1	270	18.879	16.390	-2.489
10ns	1	275	18.301	18.570	0.269
10ns	1	280	18.908	15.903	-3.005
10ns	1	290	14.551	17.277	2.727
10ns	1	300	16.219	14.886	-1.333
10ns	1	310	18.415	18.085	-0.329
10ns	1	320	17.757	18.069	0.313
10ns	1	325	16.400	17.512	1.112
10ns	1	330	16.137	14.454	-1.683
10ns	1	340	16.862	14.389	-2.474
10ns	1	350	16.040	14.740	-1.301
10ns	1	360	13.582	14.852	1.270
10ns	1	370	16.842	16.310	-0.532
10ns	1	375	17.597	18.570	0.973
10ns	1	380	16.576	18.624	2.048
10ns	1	390	16.762	16.395	-0.367
10ns	1	400	16.406	17.353	0.947
10ns	1	410	16.914	16.211	-0.703
10ns	1	420	16.480	16.431	-0.049
10ns	1	425	15.138	18.648	3.511
10ns	1	430	15.133	14.027	-1.106
10ns	1	440	17.689	15.632	-2.057
10ns	1	450	15.042	17.200	2.158
10ns	1	460	14.340	12.764	-1.576
10ns	1	470	15.296	19.371	4.075
10ns	1	475	13.473	14.997	1.523
10ns	1	480	19.324	13.950	-5.374
10ns	1	490	18.588	17.736	-0.852
10ns	1	500	14.932	15.046	0.115
10ns	2	50	20.726	23.899	3.173
10ns	2	60	17.615	18.089	0.474
10ns	2	70	13.211	15.030	1.819
10ns	2	75	15.660	17.228	1.567
10ns	2	80	17.881	19.412	1.531
10ns	2	90	19.223	19.089	-0.134
10ns	2	100	19.941	21.071	1.130
10ns	2	110	14.042	17.436	3.395
10ns	2	120	19.877	16.873	-3.004
10ns	2	125	17.246	18.387	1.141
10ns	2	130	20.278	20.178	-0.100
10ns	2	140	17.454	17.824	0.371
10ns	2	150	15.426	14.434	-0.991
10ns	2	160	21.572	19.648	-1.924
10ns	2	170	20.273	18.207	-2.066
10ns	2	175	19.520	18.422	-1.098
10ns	2	180	16.736	19.574	2.838
10ns	2	190	21.236	19.125	-2.111
10ns	2	200	19.836	21.605	1.769
10ns	2	210	20.202	19.783	-0.419
10ns	2	220	21.359	21.600	0.241
10ns	2	225	18.476	21.621	3.146
10ns	2	230	18.051	18.899	0.848
10ns	2	240	20.189	21.035	0.846
10ns	2	250	23.731	20.561	-3.169
10ns	2	260	20.117	21.464	1.348
10ns	2	270	20.392	18.763	-1.629
10ns	2	275	20.581	20.133	-0.447
10ns	2	280	20.016	22.200	2.184
10ns	2	290	20.340	21.299	0.959
10ns	2	300	21.122	18.046	-3.077
10ns	2	310	18.551	16.796	-1.755
10ns	2	320	17.693	17.620	-0.073
10ns	2	325	15.665	13.866	-1.799
10ns	2	330	20.527	19.252	-1.275
10ns	2	340	28.608	25.836	-2.772
10ns	2	350	26.960	26.356	-0.604
10ns	2	360	24.584	24.013	-0.571
10ns	2	370	24.152	25.311	1.159
10ns	2	375	32.150	24.292	-7.858
10ns	2	380	26.727	26.905	0.178
10ns	2	390	23.418	24.527	1.109
10ns	2	400	31.869	31.395	-0.474
10ns	2	410	31.624	31.464	-0.160
10ns	2	420	27.827	27.842	0.015
10ns	2	425	32.125	37.242	5.117
10ns	2	430	27.364	32.742	5.378
10ns	2	440	35.706	34.883	-0.823
10ns	2	450	35.332	35.267	-0.065
10ns	2	460	33.847	31.333	-2.514
10ns	2	470	31.822	31.286	-0.537
10ns	2	475	33.404	29.815	-3.589
10ns	2	480	29.965	33.274	3.309
10ns	2	490	32.104	28.141	-3.963
10ns	2	500	33.020	33.959	0.939
10ns	3	50	15.817	14.448	-1.369
10ns	3	60	11.613	11.862	0.249
10ns	3	70	11.577	13.521	1.944
10ns	3	75	11.804	15.421	3.617
10ns	3	80	18.077	15.949	-2.128
10ns	3	90	13.893	13.461	-0.432
10ns	3	100	14.356	15.676	1.320
10ns	3	110	13.919	14.972	1.054
10ns	3	120	12.915	13.659	0.744
10ns	3	125	12.143	12.270	0.127
10ns	3	130	14.303	14.442	0.139
10ns	3	140	15.760	13.364	-2.396
10ns	3	150	13.276	11.270	-2.006
10ns	3	160	13.384	15.745	2.361
10ns	3	170	13.271	15.300	2.029
10ns	3	175	14.255	14.139	-0.115
10ns	3	180	10.352	12.207	1.855
10ns	3	190	14.386	12.468	-1.918
10ns	3	200	12.190	10.555	-1.635
10ns	3	210	11.699	14.902	3.203
10ns	3	220	13.447	14.013	0.566
10ns	3	225	13.913	14.094	0.181
10ns	3	230	13.774	14.791	1.018
10ns	3	240	14.315	13.473	-0.842
10ns	3	250	15.618	14.426	-1.192
10ns	3	260	15.887	14.264	-1.624
10ns	3	270	21.022	16.114	-4.908
10ns	3	275	18.067	19.003	0.936
10ns	3	280	21.437	19.468	-1.969
10ns	3	290	20.247	19.248	-0.999
10ns	3	300	18.094	21.788	3.694
